OBJECTID,NAME,SHORT_NAME,PARKTYPE,COUNTY,SHOW,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,SHAPE__Area,SHAPE__Length
535,Otto Armleder Memorial Park,Otto Armleder Memorial Park,Park District,Hamilton,1,f570cf0b-7030-4642-b14f-fc980d8909a3,,,2375225.85546875,8253.83104547854
536,Reading Road Greenspace,Reading Road Greenspace,Park District,Hamilton,1,8f5969b4-bd1f-4766-a17d-1f8234197aa3,,,12061.61328125,897.842800696307
537,Walnut Hills Playground,Walnut Hills Playground,City or Village,Hamilton,1,60b05ecd-c6c0-43da-9e58-8689489e375c,,,2133.0703125,214.187415941472
538,Fechheimer Park,Fechheimer Park,Park District,Hamilton,1,ae818de9-f3a7-49cb-854a-2016d90c1505,,,2743.21484375,231.038455696922
539,Hill Street Open Space,Hill Street Open Space,Park District,Hamilton,1,b9255786-3a9a-4cb5-83e3-7bea4b149f53,,,5008.57421875,293.974278020811
540,Waterfront Park,Waterfront Park,Park District,Hamilton,1,8b3e7398-2c44-4fbd-aa6e-69a9b08162ac,,2025/04/09 19:48:23+00,294037.830668449,3952.23543622501
541,Mt. Echo Park,Mt. Echo Park,Park District,Hamilton,1,b1db201e-b7b0-4abc-a8f3-4dc92f7b113e,,,664836.421875,4750.565310308
542,Westwood Town Hall,Westwood Town Hall Park,City or Village,Hamilton,1,21387036-58ff-48a2-9a79-e840aa0603c9,,,14158.24609375,570.73317719871
543,Mckie Recreation Center,Mckie Recreation Center,City or Village,Hamilton,1,5db25af0-196d-490d-9551-a3128bbdbe0b,,,23278.875,723.034049046746
544,Victory Parkway,Victory Parkway,City or Village,Hamilton,1,f05ffaf6-f90f-404c-ad66-c2055faf04d0,,2025/10/29 20:13:37+00,264840.90625,23948.5459236365
545,Torrence Parkway,Torrence Parkway,Park District,Hamilton,1,76b05481-9fa7-46ae-9053-c9396ebc8c56,,,50725.37890625,2991.52952329847
546,Annwood Park,Annwood Park,Park District,Hamilton,1,0e0f1693-7bf1-4da8-8eb2-2756fc61e4b3,,,10625.70703125,527.388102822722
547,Mt. Lookout Square Greenspace,Mt. Lookout Square Greenspace,City or Village,Hamilton,1,17568013-bb5d-48b2-a8c0-d4655e5db048,,,619.51953125,141.259133145951
548,Stern Preserve,Stern Preserve,Park District,Hamilton,1,e43f58ca-744e-4b2a-80c0-4e9525076a5b,,,11493.7890625,926.074967322677
549,California Woods,California Woods,Park District,Hamilton,1,729b4d2b-8182-4613-bd21-6c47e03f278f,,,1099136.7109375,5469.69003755987
550,Leblond Recreation Center,LeBlond Recreation Center,,Hamilton,1,f37df68c-1b5a-4cf0-b5ea-549a08f06460,,2025/10/31 14:15:11+00,96486.06640625,1910.15871093553
551,Rockdale Academy Playground,Rockdale Academy Playground,City or Village,Hamilton,1,74214d46-2322-4640-a89b-65a5a73ee2f7,,,17588.96875,805.3465341874
552,Auburn Triangle,Auburn Triangle,Park District,Hamilton,1,9716c16d-94be-4d70-8c19-db077ad9bf5e,,,5740.05078125,369.727378240239
553,Jackson Hill Park,Jackson Hill Park,Park District,Hamilton,1,081e3138-c69b-46b3-8fa4-15f16b3d4182,,2025/05/14 15:28:50+00,75390.6171875,1685.23622800383
554,St. Joseph Gardens,St. Joseph Gardens,Township,Hamilton,1,1465cc79-a158-4d68-b114-a7e94d94bff1,,,43899.390625,883.104543340207
555,WOODLAND MOUND,Woodland Mound Park,County Government,Hamilton,1,b8745d12-7d4c-4591-b1cf-c606ff4e1848,,2025/11/20 21:26:26+00,5570440.23046875,23325.7304896177
556,HOME OF THE BRAVE PARK,Home of the Brave Park,Township,Hamilton,1,3dd72c34-89f8-4f92-bc54-b867e952b99c,,,373694.78125,4121.76523903606
557,SELLMAN PARK,Sellman Park,City or Village,Hamilton,1,b2d5f756-5c13-418a-9f29-48bcd05521ed,,,42192.84375,841.427692175665
558,PRAISE GOD PARK,Praise God Park,Other Private,Hamilton,1,759049af-c7d2-44ec-a928-e6caaac88372,,,3869.51953125,251.577425093991
559,North Fairmount Playground,Carll Street Recreation Area,,Hamilton,1,74c34dcf-6813-40ae-bead-1127c4e8f382,,2025/10/31 14:15:01+00,1473.78515625,154.661552256414
560,Park7,,City or Village,Hamilton,1,18e888ee-119d-4fde-975f-526441a05fe0,,,2351.7265625,221.244107789056
561,Wulsin Recreation Area,Wulsin Recreation Area,City or Village,Hamilton,1,9f5b167f-a90c-4d03-b37c-5627b811fd9e,,,116604.718328625,1826.47483566679
562,North College Hill Baseball Field,North College Hill Baseball Field,Ball Field,Hamilton,1,65d9876d-0f03-4841-a4f7-848ad00b213c,,,82124.61328125,1249.54560382815
563,Bosken Park,Bosken Park,Township,Hamilton,1,d1bcea98-66c7-4e95-9274-fc6dd9fcfdda,,,17517.51953125,587.07264260622
564,Emery Park,Emery Park,City or Village,Hamilton,1,0e46a40e-f2ca-4d1b-9cf0-9684116d6a84,,2025/11/04 18:28:07+00,113692.859375,2577.42532733667
565,Chamberlain Park,Chamberlain Park,City or Village,Hamilton,1,6142e14a-b1e6-4b29-aedf-ce519a000b66,,,98648.07421875,1669.35328735132
